"Time","Survival","Total","Event","trisk","nrisk","Censored"
0.100178598950165,1,20,9,"t0",20,1.33393924009319
8.7346332375366,0.942739544708666,NA,NA,"t5",18,4.51579966093397
8.95997842307099,0.883371259167928,NA,NA,"t10",13,7.73018412917146
9.96454085564309,0.823894182388511,NA,NA,"t15",7,9.77166305540194
10.4169877519197,0.759258587708403,NA,NA,"t20",6,12.0686314062174
10.77208915442,0.69638178472027,NA,NA,"t25",3,14.6312316981405
11.3544055918696,0.631728058167049,NA,NA,NA,NA,18.7545329682782
12.8455255070125,0.558221444566331,NA,NA,NA,NA,23.0726385501754
23.6535950971415,0.446764820539785,NA,NA,NA,NA,24.1405492144365
27.405901244753,0.0177941669764196,NA,NA,NA,NA,25.1794488817167
NA,NA,NA,NA,NA,NA,27.0301465055347
