"Time","Survival","Total","Event","trisk","nrisk","Censored"
0.0866551126516466,1,10,4,"M0",10,8.01559792027729
1.08318890814557,0.903733156182664,NA,NA,"M5",7,11.0485268630849
2.07972270363951,0.800451783232297,NA,NA,"M10",6,18.0242634315424
4.54939341421143,0.698543164541757,NA,NA,"M15",5,21.1438474870017
21.5771230502599,0.463266566815136,NA,NA,"M20",4,24.003466204506
50.9098786828422,0.463851213049009,NA,NA,"M25",1,50.9965337954939
NA,NA,NA,NA,"M30",1,NA
NA,NA,NA,NA,"M35",1,NA
NA,NA,NA,NA,"M40",1,NA
NA,NA,NA,NA,"M45",1,NA
NA,NA,NA,NA,"M50",1,NA
